Dataset,Bends,Iterations,GPU,Runtime(s)
Dialogues,Every chapter,100,Intel,1.366
Dialogues,Every chapter,100,AMD,1.908
Dialogues,None,100,Intel,0.264
Dialogues,None,100,AMD,0.415
,,,,
InfoVis,Every year,100,Intel,2.806
InfoVis,Every year,100,AMD,2.056
InfoVis,None,100,Intel,1.652
InfoVis,None,100,AMD,1.408
,,,,
Newcomb,Every week,100,Intel,0.241
Newcomb,Every week,100,AMD,0.341
Newcomb,None,100,Intel,0.226
,,,,
Rugby-days,Every day,100,Intel,1.601
Rugby-days,Every day,100,AMD,2.735
Rugby-days,Every week,100,Intel,0.508
Rugby-days,None,100,Intel,0.228
Rugby-days,None,100,AMD,0.318
,,,,
Rugby-weeks,None,100,Intel,0.228
Rugby-weeks,Every week,100,Intel,0.359
